gage_number,gage_name,date,time,tz,height,unit
8165500,Guad Rv at Hunt,2025-07-04,0:00,CDT,7.64,ft
8165500,Guad Rv at Hunt,2025-07-04,0:05,CDT,7.66,ft
8165500,Guad Rv at Hunt,2025-07-04,0:10,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:15,CDT,7.69,ft
8165500,Guad Rv at Hunt,2025-07-04,0:20,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:25,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:30,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,0:35,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:40,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:45,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:50,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,0:55,CDT,7.67,ft
8165500,Guad Rv at Hunt,2025-07-04,1:00,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,1:05,CDT,7.68,ft
8165500,Guad Rv at Hunt,2025-07-04,1:10,CDT,7.69,ft
8165500,Guad Rv at Hunt,2025-07-04,1:15,CDT,7.69,ft
8165500,Guad Rv at Hunt,2025-07-04,1:20,CDT,7.7,ft
8165500,Guad Rv at Hunt,2025-07-04,1:25,CDT,7.71,ft
8165500,Guad Rv at Hunt,2025-07-04,1:30,CDT,7.71,ft
8165500,Guad Rv at Hunt,2025-07-04,1:35,CDT,7.72,ft
8165500,Guad Rv at Hunt,2025-07-04,1:40,CDT,7.75,ft
8165500,Guad Rv at Hunt,2025-07-04,1:45,CDT,7.78,ft
8165500,Guad Rv at Hunt,2025-07-04,1:50,CDT,7.83,ft
8165500,Guad Rv at Hunt,2025-07-04,1:55,CDT,7.89,ft
8165500,Guad Rv at Hunt,2025-07-04,2:00,CDT,7.98,ft
8165500,Guad Rv at Hunt,2025-07-04,2:05,CDT,8.13,ft
8165500,Guad Rv at Hunt,2025-07-04,2:10,CDT,8.27,ft
8165500,Guad Rv at Hunt,2025-07-04,2:15,CDT,8.4,ft
8165500,Guad Rv at Hunt,2025-07-04,2:20,CDT,8.54,ft
8165500,Guad Rv at Hunt,2025-07-04,2:25,CDT,8.7,ft
8165500,Guad Rv at Hunt,2025-07-04,2:30,CDT,8.82,ft
