time,month,day,year,hour,rain_mm,rain_in,rain_type,graph_name
2025-07-01T00:00:00Z,7,1,2025,0,2,0.0787402,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T01:00:00Z,7,1,2025,1,0.375,0.014763788,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T02:00:00Z,7,1,2025,2,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T03:00:00Z,7,1,2025,3,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T04:00:00Z,7,1,2025,4,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T05:00:00Z,7,1,2025,5,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T06:00:00Z,7,1,2025,6,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T07:00:00Z,7,1,2025,7,0.5,0.01968505,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T08:00:00Z,7,1,2025,8,0.5,0.01968505,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T09:00:00Z,7,1,2025,9,0.625,0.024606313,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T10:00:00Z,7,1,2025,10,0.5,0.01968505,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T11:00:00Z,7,1,2025,11,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T12:00:00Z,7,1,2025,12,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T13:00:00Z,7,1,2025,13,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T14:00:00Z,7,1,2025,14,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T15:00:00Z,7,1,2025,15,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T16:00:00Z,7,1,2025,16,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T17:00:00Z,7,1,2025,17,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T18:00:00Z,7,1,2025,18,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T19:00:00Z,7,1,2025,19,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T20:00:00Z,7,1,2025,20,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T21:00:00Z,7,1,2025,21,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T22:00:00Z,7,1,2025,22,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-01T23:00:00Z,7,1,2025,23,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-02T00:00:00Z,7,2,2025,0,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-02T01:00:00Z,7,2,2025,1,0.375,0.014763788,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-02T02:00:00Z,7,2,2025,2,0.625,0.024606313,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-02T03:00:00Z,7,2,2025,3,1.875,0.073818938,max radar bin hourly,Hourly precipitation at maximum radar bin
2025-07-02T04:00:00Z,7,2,2025,4,0,0,max radar bin hourly,Hourly precipitation at maximum radar bin
